40.648 1338.8 -8.8327
41.148 1334.4 -8.8308
41.648 1330 -8.8288
42.148 1325.5 -8.8269
42.648 1321.1 -8.8249
43.148 1316.7 -8.823
43.648 1312.3 -8.8211
44.148 1307.9 -8.8191
44.648 1303.5 -8.8172
45.148 1299.1 -8.8153
45.648 1294.7 -8.8133
46.148 1290.3 -8.8114
46.648 1285.9 -8.8095
47.148 1281.5 -8.8076
47.648 1277.1 -8.8057
48.148 1272.7 -8.8037
48.648 1268.3 -8.8018
49.148 1263.9 -8.7999
49.648 1259.5 -8.798
50.148 1255.1 -8.7961
50.648 1250.7 -8.7942
51.148 1246.3 -8.7923
51.648 1241.9 -8.7904
52.148 1237.5 -8.7885
52.648 1233.1 -8.7866
53.148 1228.7 -8.7847
53.648 1224.3 -8.7828
54.148 1219.9 -8.7809
54.648 1215.5 -8.779
55.148 1211.1 -8.7771
55.648 1206.7 -8.7752
56.148 1202.3 -8.7734
56.648 1198 -8.7715
57.148 1193.6 -8.7696
57.648 1189.2 -8.7677
58.148 1184.8 -8.7658
58.648 1180.4 -8.764
59.148 1176 -8.7621
59.648 1171.7 -8.7602
60.148 1167.3 -8.7584
60.648 1162.9 -8.7565
61.148 1158.5 -8.7546
61.648 1154.1 -8.7528
62.148 1149.8 -8.7509
62.648 1145.4 -8.749
63.148 1141 -8.7472
63.648 1136.7 -8.7453
64.148 1132.3 -8.7435
64.648 1127.9 -8.7416
65.148 1123.5 -8.7398
65.648 1119.2 -8.7379
66.148 1114.8 -8.7361
66.648 1110.4 -8.7342
67.148 1106.1 -8.7324
67.648 1101.7 -8.7306
68.148 1097.3 -8.7287
68.648 1093 -8.7269
69.148 1088.6 -8.7251
69.648 1084.2 -8.7232
70.148 1079.9 -8.7214
70.648 1075.5 -8.7196
71.148 1071.2 -8.7178
71.648 1066.8 -8.7159
72.148 1062.4 -8.7141
72.648 1058.1 -8.7123
73.148 1053.7 -8.7105
73.648 1049.4 -8.7087
74.148 1045 -8.7068
74.648 1040.7 -8.705
75.148 1036.3 -8.7032
75.648 1032 -8.7014
76.148 1027.6 -8.6996
76.648 1023.3 -8.6978
77.148 1018.9 -8.696
77.648 1014.6 -8.6942
78.148 1010.2 -8.6924
78.648 1005.9 -8.6906
79.148 1001.5 -8.6888
79.648 997.2 -8.687
80.148 992.85 -8.6851
80.648 988.51 -8.6832
81.148 984.17 -8.6813
81.648 979.83 -8.6794
82.148 975.49 -8.6775
82.648 971.15 -8.6756
83.148 966.81 -8.6738
83.648 962.48 -8.6719
84.148 958.14 -8.67
84.648 953.81 -8.6681
85.148 949.47 -8.6662
85.648 945.14 -8.6643
86.148 940.81 -8.6624
86.648 936.48 -8.6606
87.148 932.15 -8.6587
87.648 927.82 -8.6568
88.148 923.49 -8.6549
88.648 919.17 -8.6531
89.148 914.84 -8.6512
89.648 910.51 -8.6493
90.148 906.19 -8.6475
90.648 901.87 -8.6456
91.148 897.54 -8.6438
91.648 893.22 -8.6419
92.148 888.9 -8.64
92.648 884.58 -8.6382
93.148 880.26 -8.6363
93.648 875.95 -8.6345
94.148 871.63 -8.6326
94.648 867.31 -8.6308
95.148 863 -8.629
95.648 858.69 -8.6271
96.148 854.37 -8.6253
96.648 850.06 -8.6234
97.148 845.75 -8.6216
97.648 841.44 -8.6198
98.148 837.13 -8.6179
98.648 832.82 -8.6161
99.148 828.51 -8.6143
99.648 824.21 -8.6124
100.15 819.9 -8.6106
100.65 815.6 -8.6088
101.15 811.29 -8.607
101.65 806.99 -8.6052
102.15 802.69 -8.6033
102.65 798.39 -8.6015
103.15 794.08 -8.5997
103.65 789.79 -8.5979
104.15 785.49 -8.5961
104.65 781.19 -8.5943
105.15 776.89 -8.5925
105.65 772.6 -8.5907
106.15 768.3 -8.5889
106.65 764.01 -8.5871
107.15 759.71 -8.5853
107.65 755.42 -8.5835
108.15 751.13 -8.5817
108.65 746.84 -8.5799
109.15 742.55 -8.5781
109.65 738.26 -8.5763
110.15 733.98 -8.5745
110.65 729.69 -8.5727
111.15 725.4 -8.571
111.65 721.12 -8.5692
112.15 716.83 -8.5674
112.65 712.55 -8.5656
113.15 708.27 -8.5638
113.65 703.99 -8.5621
114.15 699.71 -8.5603
114.65 695.43 -8.5585
115.15 691.15 -8.5568
115.65 686.87 -8.555
116.15 682.59 -8.5532
116.65 678.32 -8.5515
117.15 674.04 -8.5497
117.65 669.77 -8.5479
118.15 665.49 -8.5462
118.65 661.22 -8.5444
119.15 656.95 -8.5427
119.65 652.68 -8.5409
120.15 648.41 -8.5392
120.65 644.14 -8.5374
121.15 639.87 -8.5357
121.65 635.6 -8.5339
122.15 631.34 -8.5322
122.65 627.07 -8.5304
123.15 622.81 -8.5287
123.65 618.54 -8.527
124.15 614.28 -8.5252
124.65 610.02 -8.5235
125.15 605.76 -8.5218
125.65 601.49 -8.52
126.15 597.24 -8.5183
126.65 592.98 -8.5166
127.15 588.72 -8.5148
127.65 584.46 -8.5131
128.15 580.21 -8.5114
128.65 575.95 -8.5097
129.15 571.7 -8.508
129.65 567.44 -8.5062
130.15 563.19 -8.5045
130.65 558.94 -8.5028
131.15 554.69 -8.5011
131.65 550.44 -8.4994
132.15 546.19 -8.4977
132.65 541.94 -8.496
133.15 537.69 -8.4943
133.65 533.44 -8.4926
134.15 529.2 -8.4909
134.65 524.95 -8.4892
135.15 520.71 -8.4875
135.65 516.47 -8.4858
136.15 512.22 -8.4841
136.65 507.98 -8.4824
137.15 503.74 -8.4807
137.65 499.5 -8.479
138.15 495.26 -8.4773
138.65 491.02 -8.4755
